gene_id,molregno,source,symbol
238,1117844,chemicalprobes.org,ALK
6790,1671735,chemicalprobes.org,AURKA
596,1626740,chemicalprobes.org,BCL2
6046,1282795,chemicalprobes.org,BRD2
6046,1440191,chemicalprobes.org,BRD2
8019,1282795,chemicalprobes.org,BRD3
8019,1440191,chemicalprobes.org,BRD3
23476,1282795,chemicalprobes.org,BRD4
23476,1440191,chemicalprobes.org,BRD4
676,1282795,chemicalprobes.org,BRDT
676,1440191,chemicalprobes.org,BRDT
695,69891,chemicalprobes.org,BTK
23097,1834968,chemicalprobes.org,CDK19
1019,319858,chemicalprobes.org,CDK4
1021,319858,chemicalprobes.org,CDK6
1024,1834968,chemicalprobes.org,CDK8
84444,1429397,chemicalprobes.org,DOT1L
79813,1587592,chemicalprobes.org,EHMT1
79813,1614832,chemicalprobes.org,EHMT1
10919,1587592,chemicalprobes.org,EHMT2
10919,1614832,chemicalprobes.org,EHMT2
2064,8062,chemicalprobes.org,ERBB2
2146,1444615,chemicalprobes.org,EZH2
2146,958505,chemicalprobes.org,EZH2
3480,623658,chemicalprobes.org,IGF1R
3643,623658,chemicalprobes.org,INSR
3645,623658,chemicalprobes.org,INSRR
3716,1153572,chemicalprobes.org,JAK1
3717,1153572,chemicalprobes.org,JAK2
84456,1581487,chemicalprobes.org,L3MBTL3
5594,1951263,chemicalprobes.org,MAPK1
5594,193962,chemicalprobes.org,MAPK14
1432,1951263,chemicalprobes.org,MAPK3
4193,1570331,chemicalprobes.org,MDM2
4193,1560817,chemicalprobes.org,MDM2
4193,1614236,chemicalprobes.org,MDM2
4193,1622310,chemicalprobes.org,MDM2
4193,1734889,chemicalprobes.org,MDM2
142,624225,chemicalprobes.org,PARP1
142,8062,chemicalprobes.org,PARP1
10038,624225,chemicalprobes.org,PARP2
10038,8062,chemicalprobes.org,PARP2
5163,1140766,chemicalprobes.org,PDK1
5290,1567700,chemicalprobes.org,PIK3CA
80854,1837804,chemicalprobes.org,SETD7
203068,8062,chemicalprobes.org,TUBB
81027,8062,chemicalprobes.org,TUBB1
7280,8062,chemicalprobes.org,TUBB2A
347733,8062,chemicalprobes.org,TUBB2B
10381,8062,chemicalprobes.org,TUBB3
10382,8062,chemicalprobes.org,TUBB4A
10383,8062,chemicalprobes.org,TUBB4B
84617,8062,chemicalprobes.org,TUBB6
347688,8062,chemicalprobes.org,TUBB8